,1. open,2. high,3. low,4. close,5. volume
2025-09-16,823.4,833.0,821.6,831.8,368364.0
2025-09-15,823.3,828.0,821.4,824.9,139666.0
2025-09-12,824.9,825.35,819.9,823.3,297096.0
2025-09-11,816.25,825.5,816.25,823.8,1044344.0
2025-09-10,811.2,824.5,810.2,818.3,489810.0
2025-09-09,810.35,812.45,805.4,808.95,170532.0
2025-09-08,807.1,813.5,807.1,809.0,268859.0
2025-09-05,811.9,812.2,803.6,806.95,272131.0
2025-09-04,816.75,816.75,807.85,809.35,619504.0
2025-09-03,805.0,813.2,803.1,812.15,187814.0
2025-09-02,809.9,810.5,802.9,803.95,119021.0
2025-09-01,802.65,808.25,802.65,805.9,164286.0
2025-08-29,802.0,807.0,798.6,802.35,520632.0
2025-08-28,807.8,810.6,800.7,802.05,146716.0
2025-08-26,815.8,815.8,806.55,807.8,677825.0
2025-08-25,817.0,820.45,814.0,815.5,373280.0
2025-08-22,825.5,825.95,815.55,816.1,158755.0
2025-08-21,828.8,833.45,824.5,825.55,138694.0
2025-08-20,829.8,831.5,826.95,828.8,156440.0
2025-08-19,827.65,831.25,825.85,830.35,289674.0
2025-08-18,831.35,835.2,825.3,827.0,435823.0
2025-08-14,821.85,828.0,819.2,826.7,492882.0
2025-08-13,823.45,824.9,820.55,822.15,847012.0
2025-08-12,824.3,825.6,820.0,820.55,784250.0
2025-08-11,807.0,824.95,807.0,824.3,1141997.0
2025-08-08,805.0,807.95,790.1,804.55,621304.0
2025-08-07,801.1,806.5,793.3,805.25,188248.0
2025-08-06,801.0,810.0,799.0,805.15,376366.0
2025-08-05,795.65,803.65,795.65,800.7,512346.0
2025-08-04,795.0,797.45,786.55,795.65,193850.0
2025-08-01,796.5,800.75,791.95,793.95,234321.0
2025-07-31,796.65,803.6,792.45,796.45,378571.0
2025-07-30,799.85,803.4,796.25,801.85,154363.0
2025-07-29,795.35,800.2,793.1,798.9,330118.0
2025-07-28,808.95,809.2,796.0,797.15,389824.0
2025-07-25,814.35,819.0,805.55,806.5,383923.0
2025-07-24,819.75,821.95,810.65,815.85,323698.0
2025-07-23,815.2,825.0,811.4,820.75,739975.0
