,1. open,2. high,3. low,4. close,5. volume
2025-12-17,1004.45,1018.9,1004.45,1012.8,1714.0
2025-12-16,1006.75,1022.0,1006.75,1014.75,1922.0
2025-12-15,1002.05,1022.0,1002.05,1018.95,2356.0
2025-12-12,1012.75,1022.5,1005.2,1017.05,2395.0
2025-12-11,1043.85,1043.85,1010.65,1012.75,15914.0
2025-12-10,1022.35,1069.4,1021.7,1030.5,15397.0
2025-12-09,1012.5,1020.7,1002.05,1019.9,1486.0
2025-12-08,1000.05,1018.0,996.35,1012.5,5148.0
2025-12-05,1008.3,1019.75,995.0,1014.55,4433.0
2025-12-04,1035.0,1042.9,1000.35,1008.3,4803.0
2025-12-03,1040.05,1044.95,1029.35,1036.45,1376.0
2025-12-02,1045.0,1052.0,1030.6,1044.1,5549.0
2025-12-01,1067.95,1067.95,1033.0,1051.05,1923.0
2025-11-28,1046.95,1054.0,1043.0,1050.25,1190.0
2025-11-27,1052.3,1052.3,1034.6,1046.75,1016.0
2025-11-26,1021.5,1063.25,1017.0,1052.25,2567.0
2025-11-25,1018.15,1038.3,1013.0,1021.5,4048.0
2025-11-24,1068.0,1068.0,1014.0,1018.4,2613.0
2025-11-21,1084.45,1084.45,1038.0,1047.35,1898.0
2025-11-20,1056.25,1062.75,1046.4,1047.75,1503.0
2025-11-19,1058.85,1065.9,1035.15,1058.75,6833.0
2025-11-18,1084.85,1084.85,1053.6,1056.5,2154.0
2025-11-17,1067.45,1079.1,1062.8,1075.6,4994.0
2025-11-14,1062.5,1074.15,1052.55,1065.05,11218680.0
2025-11-13,1066.4,1075.0,1060.3,1062.45,2401.0
2025-11-12,1069.85,1070.1,1037.8,1067.95,6076.0
2025-11-11,1072.7,1077.0,1052.55,1069.9,2174.0
2025-11-10,1056.65,1083.9,1048.9,1060.1,5532.0
2025-11-07,1082.0,1082.0,1056.35,1075.7,4493.0
2025-11-06,1101.6,1106.65,1082.0,1085.1,1997.0
2025-11-05,1106.35,1106.35,1106.35,1106.35,0.0
2025-11-04,1128.9,1130.2,1103.35,1106.35,6515.0
2025-11-03,1084.75,1133.85,1084.75,1128.9,2239.0
2025-10-31,1098.7,1127.45,1096.0,1104.35,6126.0
2025-10-30,1094.15,1102.35,1078.9,1096.0,3379.0
2025-10-29,1095.0,1099.5,1077.2,1094.7,2329.0
2025-10-28,1076.7,1097.1,1067.2,1089.4,6876.0
2025-10-27,1080.0,1101.05,1078.6,1096.0,2503.0
2025-10-24,1085.05,1101.4,1072.6,1086.45,7435.0
2025-10-23,1106.0,1111.0,1086.0,1095.5,4525.0
2025-10-21,1095.0,1115.0,1086.95,1108.2,3275.0
2025-10-20,1081.9,1105.35,1078.0,1102.3,7510.0
2025-10-17,1124.35,1124.35,1055.8,1083.9,5252.0
2025-10-16,1107.95,1107.95,1063.4,1082.25,1979.0
